№,"Иврит (Инфинитив)",Русский,Биньян / Гизра,"Комментарий (включая пример)"
47,לְהָבִיא,Приносить,"Hif'il (פ""י)",Корень ב.ו.א; Принеси мне стакан воды. (תָּבִיא לִי כּוֹס מַיִם.)
48,לְהַרְגִּישׁ,Чувствовать,Hif'il (שלם),Как ты себя чувствуешь? (אֵיךְ אַתָּה מַרְגִּישׁ?)
49,לְהַעֲדִיף,Предпочитать,"Hif'il (פ""א)",Я предпочитаю кофе. (אֲנִי מַעֲדִיף קָפֶה.)
50,לְהַזְמִין,Приглашать,Hif'il (שלם),Мы приглашаем друзей на ужин. (אֲנַחְנוּ מַזְמִינִים חֲבֵרִים לַאֲרוּחַת עֶרֶב.)
51,לְהַמְשִׁיךְ,Продолжать,Hif'il (שלם),Продолжай читать. (תַּמְשִׁיךְ לִקְרוֹא.)
52,לְהַדְלִיק,Зажигать/Включать,Hif'il (שלם),Включи свет. (תַּדְלִיק אֶת הָאוֹר.)
53,לְכַבּוֹת,Выключать,"Pi'el (ל""ה)",Выключи свет. (תְּכַבֶּה אֶת הָאוֹר.)
54,לְהָבִין,Понимать,"Hif'il (פ""י)",Ты понимаешь меня? (אַתָּה מֵבִין אוֹתִי?)
55,לְהַסְכִּים,Соглашаться,Hif'il (שלם),Я не согласен с тобой. (אֲנִי לֹא מַסְכִּים אִיתְךָ.)
56,לְהַחְלִיט,Решать,Hif'il (שלם),Я решил поехать в Иерусалим. (אֲנִי הֶחְלַטְתִּי לִנְסוֹעַ לִירוּשָׁלַיִם.)
57,לְהִיכָּנֵס,Входить,Nif'al (שלם),Пассивный/Рефлексивный; Я вошел в комнату. (אֲנִי נִכְנַסְתִּי לַחֶדֶר.)
58,לְהִיפָּגֵשׁ,Встречаться,"Nif'al (פ""ג)",Корень פ.ג.ש; Мы встречаемся в парке. (אֲנַחְנוּ נִפְגָּשִׁים בַּפָּארְק.)
59,לְהִישָׁאֵר,Оставаться,Nif'al (שלם),Он останется дома. (הוּא יִשָּׁאֵר בַּבַּיִת.)
60,לְהִיוָולֵד,Рождаться,"Nif'al (פ""י)",Я родился в 1990 году. (אֲנִי נוֹלַדְתִּי בִּשְׁנַת 1990.)
61,לְהִתְלַבֵּשׁ,Одеваться,Hitpa'el (שלם),"Рефлексивный; Одевайся быстро! (תִּתְלַבֵּשׁ מַהֵר!)"
62,לְהִתְפַּלֵּל,Молиться,Hitpa'el (שלם),Он молится три раза в день. (הוּא מִתְפַּלֵּל שָׁלוֹשׁ פְּעָמִים בַּיּוֹם.)
63,לְהִשְׁתַּמֵּשׁ,Пользоваться,Hitpa'el (שלם),Я пользуюсь компьютером. (אֲנִי מִשְׁתַּמֵּשׁ בַּמַּחְשֵׁב.)
64,לְהִתְפַּתֵּחַ,Развиваться,Hitpa'el (שלם),Язык развивается. (הַשָּׂפָה מִתְפַּתַּחַת.)
65,לְהִתְרַגֵּשׁ,Волноваться,Hitpa'el (שלם),Я очень волнуюсь перед экзаменом. (אֲנִי מִתְרַגֵּשׁ מְאוֹד לִפְנֵי הַמִּבְחָן.)
66,לְהִתְעַנְיֵין,Интересоваться,"Hitpa'el (ע""ו/ע""י)",Я интересуюсь историей. (אֲנִי מִתְעַנְיֵין בְּהִיסְטוֹרְיָה.)
67,לִשְׁכֹּחַ,Забывать,"Pa'al (ל""ח)",Я забыл твое имя. (אֲנִי שָׁכַחְתִּי אֶת הַשֵּׁם שֶׁלְּךָ.)
68,לִמְצוֹא,Находить,"Pa'al (ל""א)",Я нашел ключи. (אֲנִי מָצָאתִי אֶת הַמַּפְתְּחוֹת.)
69,לִלְמֹד,Учиться (в школе/вузе),Pa'al (שלם),Я учусь в университете. (אֲנִי לוֹמֵד בָּאוּנִיבֶרְסִיטָה.)
70,לָנוּחַ,Отдыхать,"Pa'al (ע""ו/ע""י)",Мне нужно отдохнуть. (אֲנִי צָרִיךְ לָנוּחַ.)
71,לְבַשֵּׁל,Приготовить (еду),Pi'el (שלם),Она готовит ужин. (הִיא מְבַשֶּׁלֶת אֲרוּחַת עֶרֶב.)
72,לְהַגִּיעַ,Приехать/Доехать,"Hif'il (פ""י)",Мы приедем завтра. (אֲנַחְנוּ נַגִּיעַ מָחָר.)
73,לַעֲיֵיף,Устать,"Pa'al (ע""י)",В прошедшем: עָיַיפְתִּי; Я очень устал. (אֲנִי מְאוֹד עָיֵיף.)
74,לְהַסְפִּיק,Успевать,Hif'il (שלם),Я не успеваю закончить. (אֲנִי לֹא מַסְפִּיק לְסַיֵּים.)
75,לִגְדֹּל,Расти,Pa'al (שלם),Цветы растут быстро. (הַפְּרָחִים גְּדֵלִים מַהֵר.)
76,לְסַפֵּר,Стричь,Pi'el (שלם),"То же, что ""рассказывать"", но с другим контекстом; Я стригу волосы. (אֲנִי מְסַפֵּר אֶת הַשֵּׂיעָר.)"
77,לַעֲזוֹר,Помогать,"Pa'al (ע""ו/ע""י)",Ты можешь мне помочь? (אַתָּה יָכוֹל לַעֲזוֹר לִי?)
78,לְאַבֵּד,Терять/Проигрывать,Pi'el (שלם),Он потерял кошелек. (הוּא אִיבֵּד אֶת הָאַרְנָק.)
79,לְנַצֵּחַ,Побеждать,Pi'el (שלם),Мы победим в игре. (אֲנַחְנוּ נְנַצֵּחַ בַּמִּשְׂחָק.)
80,לְהַזְמִין,Заказывать,Hif'il (שלם),Я закажу столик в ресторане. (אֲנִי אַזְמִין שֻׁלְחָן בַּמִּסְעָדָה.)
81,לְשַׁנּוֹת,Менять,"Pi'el (ע""ו/ע""י)",Мне нужно поменять деньги. (אֲנִי צָרִיךְ לְשַׁנּוֹת כֶּסֶף.)
82,לַעֲבוֹר,Переезжать,"Pa'al (ע""ו/ע""י)",Мы переезжаем в новый дом. (אֲנַחְנוּ עוֹבְרִים לְבַיִת חָדָשׁ.)
83,לְהַאֲמִין,Верить,"Hif'il (פ""א)",Я верю в тебя. (אֲנִי מַאֲמִין בְּךָ.)
84,לְקַוּוֹת,Надеяться,"Pi'el (ל""ה)",Я надеюсь увидеть тебя. (אֲנִי מְקַוֶּוה לִרְאוֹת אוֹתְךָ.)
85,לְהַשְׁווֹת,Сравнивать,"Hif'il (ל""ה)",Не сравнивай меня с ней. (אַל תַּשְׁוֶוה אוֹתִי אֵלֶיהָ.)
86,לִזְכּוֹר,Запоминать,Pa'al (שלם),Я помню этот день. (אֲנִי זוֹכֵר אֶת הַיּוֹם הַזֶּה.)
87,לִגְמֹר,Заканчивать/Кончать,Pa'al (שלם),Когда ты закончишь? (מָתַי אַתָּה גּוֹמֵר?)
88,לְשַׁנֵּן,Учить (стихотворение),Pi'el (שלם),"Зубрить, повторять Ей нужно выучить слова. (הִיא צְרִיכָה לְשַׁנֵּן אֶת הַמִּלִּים.)"
89,לִבְנוֹת,Строить,"Pa'al (ל""ה)",Они строят новый дом. (הֵם בּוֹנִים בַּיִת חָדָשׁ.)
90,לַהֲרוֹס,Разрушать,Pa'al (שלם),Война разрушила город. (הַמִּלְחָמָה הָרְסָה אֶת הָעִיר.)
91,לִיצוֹר,Создавать,"Pa'al (פ""י)",Художник создает красоту. (הָאוּמָּן יוֹצֵר יוֹפִי.)
92,לְטַיֵּיל,Путешествовать,"Pi'el (ע""ו/ע""י)",Мы любим путешествовать по миру. (אֲנַחְנוּ אוֹהֲבִים לְטַיֵּיל בָּעוֹלָם.)
93,לַחֲזוֹר,Возвращаться,"Pa'al (ע""ו/ע""י)",Я вернусь вечером. (אֲנִי אֶחְזוֹר בָּעֶרֶב.)
94,לְמַהֵר,Спешить,Pi'el (שלם),Поторопись! (תְּמַהֵר!)
95,לְתַקֵּן,Ремонтировать,Pi'el (שלם),Мне нужно отремонтировать машину. (אֲנִי צָרִיךְ לְתַקֵּן אֶת הָאוֹטוֹ.)
96,לְהַעֲנִישׁ,Наказывать,Hif'il (שלם),Учитель не наказывает учеников. (הַמּוֹרֶה לֹא מַעֲנִישׁ אֶת הַתַּלְמִידִים.)
97,לְהָגֵן,Защищать,"Hif'il (פ""נ)",Мы должны защищать нашу страну. (אֲנַחְנוּ צְרִיכִים לְהָגֵן עַל הַמְּדִינָה שֶׁלָּנוּ.)
98,לְהִצְטָרֵף,Присоединяться,"Hitpa'el (פ""צ)",Ты можешь присоединиться к нам. (אַתָּה יָכוֹל לְהִצְטָרֵף אֵלֵינוּ.)
99,לְנַסּוֹת,Пытаться,"Pi'el (ל""ה)",Я пытаюсь говорить на иврите. (אֲנִי מְנַסֶּה לְדַבֵּר עִבְרִית.)
100,לַעֲזוֹב,Покидать/Оставлять,"Pa'al (ע""ו/ע""י)",Он покинул город. (הוּא עָזַב אֶת הָעִיר.)
